h3_index,latitude,longitude,gpu_count,construction_years,ng_configuration,ng_nameplate_mw,ng_base_lcoe,idling_cost_npv_millions,ng_total_lcoe,capex_npv,opex_npv,energy_npv,gas_price,state,facility_load_mw,annual_pue,eue_total_mwh,diesel_capacity_mw,used_cached_facility
8412db9ffffffff,48.260086064646536,-117.21675838795436,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17971391684681162,5903.577395405712,0.880979240437913,592538975.6031992,920376295.4722716,8418464.733396702,10.32,Washington,122.5463004593276,1.0984542338090988,2405.83527334996,148.0,True
8412dbbffffffff,47.99470859178277,-116.81966005689112,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14382441623932668,5903.577395405712,0.8441078375937866,592548562.1571604,619929909.7387723,8430268.681767806,6.03,Idaho,122.71812872606056,1.0999944311579657,2409.0834197716144,148.0,True
8412dbdffffffff,48.16301289686864,-117.80643687548356,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17973670390925015,5903.577395405712,0.8811629099628167,592537409.5098709,920222640.1800112,8416533.834144868,10.32,Washington,122.51819265495165,1.098202287103208,2405.3039389779133,148.0,True
8412de7ffffffff,48.93656992626795,-119.0105201902246,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.17974911859184148,5903.577395405712,0.8812629799439304,592536554.53691,920138948.8631569,8415482.174546389,10.32,Washington,122.50288380741027,1.098065064940372,2405.01454899973,148.0,True
8426001ffffffff,43.422814939048976,-97.42465926125902,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13909054972632265,5903.577395405712,0.8306717841348482,594082275.9856873,593242920.8599805,8536346.99971977,5.57,South Dakota,124.26229453724358,1.1138356933310347,2438.2734753393092,150.0,True
8426003ffffffff,43.07808852739583,-97.11723406341017,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13930325582509964,5903.577395405712,0.8324484010242865,594066636.7660031,592391290.396064,8517086.841471305,5.57,South Dakota,123.98192736646394,1.1113225982428139,2432.9735695680856,150.0,True
8426005ffffffff,43.42291738012327,-97.99063220583126,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1391186079519744,5903.577395405712,0.8309061242179984,594080210.4795818,593130385.0781429,8533801.574319704,5.57,South Dakota,124.22524116994308,1.1135035623076128,2437.5730389984456,150.0,True
8426007ffffffff,43.07926681047231,-97.68034303733776,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13916034168703434,5903.577395405712,0.8312546917436137,594077138.0053225,592963107.957311,8530018.190327791,5.57,South Dakota,124.17016702921678,1.113009900541999,2436.5319479339364,150.0,True
8426009ffffffff,43.7657869362828,-97.16605950071006,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13916191389278038,5903.577395405712,0.831267824669655,594077021.2947278,592956807.4391403,8529875.707576415,5.57,South Dakota,124.16809292964952,1.112991309173329,2436.4927403040415,150.0,True
842600bffffffff,43.41992146347423,-96.85871432346542,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1392537078442191,5903.577395405712,0.8320345337968089,594070273.7938366,592589360.9112132,8521565.802991379,5.57,South Dakota,124.04712692262616,1.1119070200347443,2434.2060658800633,150.0,True
842600dffffffff,43.766708418343214,-97.73560131634709,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13912908566353982,5903.577395405712,0.8309936377803975,594079436.9326172,593088373.0869503,8532851.375811756,5.57,South Dakota,124.21140927594108,1.1133795789440097,2437.3115685322555,150.0,True
8426011ffffffff,42.72674911491232,-96.25384040344224,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1461403484703042,5903.577395405712,0.8387607701788742,594071875.1717633,651561130.6494489,8523539.315867484,6.4,Iowa,124.07585504699732,1.1121645270319087,2434.7491264378586,150.0,True
8426013ffffffff,42.37773487067014,-95.9546849904732,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14613804359429064,5903.577395405712,0.8387416526575079,594072043.4521556,651571553.3794669,8523746.22100311,6.4,Iowa,124.07886693333528,1.112191524332417,2434.806061469661,150.0,True
8426015ffffffff,42.73168296861813,-96.8124964542776,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13917933778539712,5903.577395405712,0.8314133536272916,594075740.1923864,592887011.7869556,8528297.165844683,5.57,South Dakota,124.14511433967255,1.1127853386189135,2436.058365761206,150.0,True
8426017ffffffff,42.38364393021918,-96.51042836014084,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13898091635349258,5903.577395405712,0.8315919787810457,594071970.1687591,590553342.1984875,8523654.494795516,5.54,Nebraska,124.07753168899421,1.1121795557556904,2434.780820749896,150.0,True
8426019ffffffff,43.066568201690174,-95.99204706796294,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14618481929473795,5903.577395405712,0.8391296238903935,594068637.1313115,651360131.532978,8519549.257390775,6.4,Iowa,124.01777237748192,1.1116438980614625,2433.651163810791,150.0,True
842601bffffffff,42.719126105978496,-95.696868483039,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14614967774649332,5903.577395405712,0.8388381475853082,594071196.6217945,651518951.703899,8522701.982868928,6.4,Iowa,124.06366611891184,1.1120552705336635,2434.5187136897266,150.0,True
842601dffffffff,43.07416362288628,-96.55566670263708,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.14622363742163963,5903.577395405712,0.8394516072348265,594065808.9350411,651184813.0054176,8516069.24774923,6.4,Iowa,123.96711441066257,1.1111898210479558,2432.6935536528053,150.0,True
8426021ffffffff,43.07329729155247,-98.81077276247018,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13901321920001822,5903.577395405712,0.8318618656604015,594069595.2438678,590424742.3354329,8520731.65700162,5.54,Nebraska,124.03498438733911,1.1117981793823113,2433.976530115707,150.0,True
8426023ffffffff,42.73011787703371,-98.4975702547715,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13902452882263702,5903.577395405712,0.8319563567830636,594068764.6987057,590379737.515458,8519708.804230113,5.54,Nebraska,124.02009487636147,1.1116647159785902,2433.695067043759,150.0,True
8426025ffffffff,43.06611016871207,-99.37788298226708,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13950970451505793,5903.577395405712,0.834172969541338,594051521.3868951,591568014.6967757,8498473.56644427,5.57,South Dakota,123.71097677556268,1.1088939094728307,2427.851669609397,150.0,True
8426027ffffffff,42.72407066384299,-99.06195521943587,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13903507721851305,5903.577395405712,0.8320444871882304,594067991.1517411,590337771.9266683,8518755.02767514,5.54,Nebraska,124.00621089727761,1.1115402657459057,2433.432611990019,150.0,True
8426029ffffffff,43.42021854134081,-98.55799676246936,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13931430525332525,5903.577395405712,0.8325406983485246,594065825.2202402,592347143.9657676,8516088.617236167,5.57,South Dakota,123.96739636931433,1.1111923484084196,2432.6988836430514,150.0,True
842602bffffffff,43.077676541965886,-98.24489076970184,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13923675919838846,5903.577395405712,0.831892965755508,594071519.6115797,592657158.2399039,8523098.962398278,5.57,South Dakota,124.06944488905822,1.112107069033575,2434.6279523611597,150.0,True
842602dffffffff,43.41469859294306,-99.12664641214872,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.13931739482330247,5903.577395405712,0.8325665037923061,594065599.9416506,592334803.9316924,8515809.56834619,5.57,South Dakota,123.96333429740491,1.11115593767982,2432.6220964846407,150.0,True
8426031ffffffff,42.38740147689365,-97.62669731390152,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.1390262301515556,5903.577395405712,0.831970571225543,594068639.8455114,590372968.2916161,8519554.956254954,5.54,Nebraska,124.01785533497407,1.1116446416580308,2433.6527319932934,150.0,True
8426033ffffffff,42.03975964526976,-97.32157706307736,100000,3.0,2× GE 6F.03 CC,258.21495652173917,0.138926961621469,5903.577395405712,0.8311412071723682,594075938.3289773,590768314.028429,8528540.74204634,5.54,Nebraska,124.14866004109653,1.1128171208165516,2436.125391737848,150.0,True
