h3_index,gpu_count,latitude,longitude,annual_pue,facility_load_mw,annual_energy_mwh,ac_coupled_base_lcoe,ac_coupled_total_lcoe,ac_topology,ac_retried,ac_coupled_solar_to_battery_mw_ratio,dc_coupled_base_lcoe,dc_coupled_total_lcoe,dc_topology,dc_retried,dc_coupled_solar_to_battery_mw_ratio,grid_base_lcoe,grid_total_lcoe,natural_gas_base_lcoe,natural_gas_total_lcoe,ng_config,ng_turbine_class,ng_cycle_type,ng_n_units,ng_nameplate_mw,ng_efficiency_net,ng_aux_load_fraction,diesel_capacity_mw,eue_total_mwh,ng_construction_years,natural_gas_threeyr_base_lcoe,natural_gas_threeyr_total_lcoe,ng_threeyr_construction_years
8412c93ffffffff,24000,48.77000828904844,-111.6132304376774,1.09823720960949,29.803057435869057,208583.31704791973,0.6071293167560048,1.0520022448043285,lv_direct,False,1.4468722880418172,0.4954436268608921,0.9444107909043046,lv_direct,False,1.756718897464595,0.0667,1.062272539904955,0.1933020185750756,1.1888745584800307,1x Siemens SGT-A45 SC,aero,SC,1,44.0,0.382254027568972,0.02,40.0,15143.859465828284,4.0,0.189340021069726,0.8978288105828495,3.0
8412c93ffffffff,50000,48.77000828904844,-111.6132304376774,1.09823720960949,62.08970299139387,434548.57718316617,0.6071293167560048,1.0520022448043285,lv_direct,False,1.4468722880418172,0.4954436268608921,0.9444107909043045,lv_direct,False,1.756718897464595,0.0667,1.0622725399049546,0.1735872581788179,1.1691597980837725,2x Siemens SGT-A45 SC,aero,SC,2,88.0,0.3833342787176791,0.02,78.0,24333.28471636008,4.0,0.170438195427818,0.8789269849409411,3.0
8412c93ffffffff,100000,48.77000828904844,-111.6132304376774,1.09823720960949,124.17940598278774,869097.1543663323,0.6262017210763732,1.0713986319999438,mv_coupled,False,1.53462575370547,0.5095679307341683,0.9585350947775807,mv_coupled,False,1.5476843132413691,0.0667,1.0622725399049546,0.1636107786739968,1.1591833185789515,4x Siemens SGT-A45 SC,aero,SC,4,176.0,0.3833342787176791,0.02,154.0,3269.594016553932,4.0,0.1607776348947621,0.8692664244078852,3.0
8412c93ffffffff,750000,48.77000828904844,-111.6132304376774,1.09823720960949,931.345544870908,6518228.657747491,0.6262017210763732,1.0713986319999438,mv_coupled,False,1.53462575370547,0.5095679307341683,0.9585350947775806,mv_coupled,False,1.5476843132413691,0.0667,1.0622725399049546,0.1386438198537889,1.1488823952091956,3x GE 7HA.02 CC,h_class,CC,3,1574.205295774648,0.5189864858076906,0.025,1130.0,42941.54906648043,4.05,0.1309075328166491,0.8393963223297725,3.0
8412c95ffffffff,24000,48.98368621261201,-112.6243422580039,1.0987246957089851,30.31289740170245,208675.9031183586,0.6977600475992637,1.1431889012275218,lv_direct,False,1.3198703263725071,0.5754746492522829,1.0242426139398824,lv_direct,False,1.588369834532768,0.0667,1.0618308207225806,0.193259338975761,1.1883901596983415,1x Siemens SGT-A45 SC,aero,SC,1,44.0,0.3822651084471867,0.02,40.0,15150.332006289638,4.0,0.189298888908104,0.8974733335831758,3.0
8412c95ffffffff,50000,48.98368621261201,-112.6243422580039,1.0987246957089851,63.15186958688012,434741.4648299138,0.6977600475992637,1.1431889012275218,lv_direct,False,1.3198703263725071,0.5754746492522829,1.0242426139398826,lv_direct,False,1.588369834532768,0.0667,1.0618308207225808,0.1753055459755481,1.1704363666981288,2x Siemens SGT-800 SC,aero,SC,2,124.0,0.3820081593889284,0.02,80.0,2233.517599371517,4.0,0.1719835027989853,0.8801579474740571,3.0
8412c95ffffffff,100000,48.98368621261201,-112.6243422580039,1.0987246957089851,126.30373917376023,869482.9296598276,0.7206826925040389,1.16644079204955,mv_coupled,False,1.31300241521673,0.5886235585912802,1.0373915232788797,mv_coupled,False,1.6298772493213798,0.0667,1.0618308207225808,0.1650367306193944,1.1601675513419751,3x Siemens SGT-800 SC,aero,SC,3,186.0,0.3885102125185712,0.02,156.0,6210.981295972998,4.0,0.1621073777519463,0.870281822427018,3.0
8412c95ffffffff,750000,48.98368621261201,-112.6243422580039,1.0987246957089851,947.2780438032016,6521121.972448707,0.7206826925040389,1.16644079204955,mv_coupled,False,1.31300241521673,0.5886235585912802,1.0373915232788797,mv_coupled,False,1.6298772493213798,0.0667,1.0618308207225808,0.1389777118422009,1.1487680609362128,3x GE 7HA.02 CC,h_class,CC,3,1574.205295774648,0.519014235691593,0.025,1148.0,42984.11232896778,4.05,0.1312133944789493,0.8393878391540212,3.0
8412c97ffffffff,24000,48.68986128979077,-112.18776453383892,1.0981974007450226,29.68667582731004,208575.7563270428,0.97845580233277,1.4245432329471912,lv_direct,False,2.4989749066463447,0.757748065079656,1.20673150385926,lv_direct,False,1.878998978595491,0.0667,1.0623086286921635,0.1920869048128546,1.187695533505018,1x Siemens SGT-A45 SC,aero,SC,1,44.0,0.3822531226874184,0.02,38.0,15143.330908221713,4.0,0.1881635257150553,0.8966779974362946,3.0
8412c97ffffffff,50000,48.68986128979077,-112.18776453383892,1.0981974007450226,61.84724130689592,434532.8256813393,0.97845580233277,1.4245432329471912,lv_direct,False,2.4989749066463447,0.757748065079656,1.20673150385926,lv_direct,False,1.878998978595491,0.0667,1.0623086286921632,0.1735897889394568,1.1691984176316201,2x Siemens SGT-A45 SC,aero,SC,2,88.0,0.3833333361327276,0.02,78.0,24331.701964986605,4.0,0.1704406376552401,0.8789551093764792,3.0
