design_id,site,lat,lon,solar_mw,batt_mw,solar_batt_ratio,mean_soc,soc_p90,dod_w,mean_T,efc_annual,efc_cum,c_rate_max,c_rate_mean,year,t_yr,marginal_cal,marginal_cyc,total_cal,total_cyc
42,Boise,43.6,-116.2,580.4467796391343,207.83697544450504,0.6981996086087682,0.8340353131203245,1.0,0.47923674210023376,29.997807439929115,156.18632865044492,152.25874312570198,0.25663024348345825,0.0551838617005374,1,2,0.9062189000424365,0.38587314757150176,2.9926551287064633,0.8817961585733253
42,Boise,43.6,-116.2,580.4467796391343,207.83697544450504,0.6981996086087682,0.8319604345009596,1.0,0.4831146660700013,29.99783103964715,158.1763410986099,308.4450717761469,0.2599895477546232,0.055887575280547,2,3,0.7100413664218377,0.35149594498286474,3.7021145172126895,1.2356359897270697
42,Boise,43.6,-116.2,580.4467796391343,207.83697544450504,0.6981996086087682,0.8301975445445099,1.0,0.5513543113077032,29.9978506363707,159.82863680473847,466.6214128747568,0.26277904536775504,0.05646067469176234,3,4,0.6024431832327166,0.32973886282671594,4.302861017724602,1.5695394831742377
42,Boise,43.6,-116.2,580.4467796391343,207.83697544450504,0.6981996086087682,0.8286087756584641,1.0,0.495814167124979,29.997868007031474,161.293394610824,626.4500496794952,0.26525167384824044,0.056984473802113945,4,5,0.5349202897481495,0.31270380669646936,4.83660058743044,1.8873909871534071
42,Boise,43.6,-116.2,580.4467796391343,207.83697544450504,0.6981996086087682,0.8271334963893723,1.0,0.49874126265977914,29.997883937031414,162.63652726541272,787.7434442903193,0.267519231315494,0.05743357052921191,5,6,0.4869733836617778,0.29902147548067526,5.321504220341054,2.192786262595828
42,Boise,43.6,-116.2,580.4467796391343,207.83697544450504,0.6981996086087682,0.8257406797953999,1.0,0.5386101058345814,29.99789882581453,163.89175493424307,950.379971555732,0.26963857666635643,0.057868704216457796,6,7,0.4492697761076432,0.2891591684682573,5.7675023005702615,2.489910183131757
42,Boise,43.6,-116.2,580.4467796391343,207.83697544450504,0.6981996086087682,0.8244105442188769,1.0,0.5412812591620839,29.99791291763381,165.07969713697713,1114.2717264899752,0.27164447811913023,0.058289463629973226,7,8,0.42038384015535524,0.2788979749111369,6.185144492839856,2.778927811660833
42,Boise,43.6,-116.2,580.4467796391343,207.83697544450504,0.6981996086087682,0.823137029360021,1.0,0.5439361032567475,29.99792635636287,166.20509485348109,1279.3514236269523,0.273557415378639,0.05869588023046126,8,9,0.3958797242631942,0.27146155186013843,6.577353957043595,3.0622053750163314
42,Boise,43.6,-116.2,580.4467796391343,207.83697544450504,0.6981996086087682,0.8219058139207935,1.0,0.5468701288268049,29.99793926742263,167.28436820593373,1445.5565184804334,0.2753952414976322,0.059075063413132685,9,10,0.3758111215209565,0.26360533066444347,6.949802823882327,3.3390583291935885
42,Boise,43.6,-116.2,580.4467796391343,207.83697544450504,0.6981996086087682,0.8207106702506154,1.0,0.54818827462905,29.997951717830443,168.32524267169703,1612.8408866863672,0.2771674960675987,0.05942431729609266,10,11,0.3591300530085677,0.2571575190137634,7.304798453953934,3.6103443586415067
42,Boise,43.6,-116.2,580.4467796391343,207.83697544450504,0.6981996086087682,0.8195446215969214,1.0,0.5495466702628676,29.997963792297323,169.33465897742366,1781.1661293580642,0.2788862372880859,0.059764145518047186,11,12,0.3432641418774054,0.25189642358631437,7.642975478519991,3.8781403092989586
42,Boise,43.6,-116.2,580.4467796391343,207.83697544450504,0.6981996086087682,0.818405751035521,1.0,0.5523411959515414,29.997975522652833,170.31518978206225,1950.5007883354879,0.28055599593996455,0.06011728967354422,12,13,0.33054467137939003,0.24568095559202785,7.968762048659171,4.142004197825262
43,Boise,43.6,-116.2,320.40101705276345,265.430965942179,0.3017743388713725,0.8287024934547493,1.0,0.5519818529830166,29.99722432984884,118.55630827646931,0.0,0.25,0.04059125962811923,0,1,2.0958472844134333,0.38576713192411133,2.0958472844134333,0.38576713192411133
43,Boise,43.6,-116.2,320.40101705276345,265.430965942179,0.3017743388713725,0.8250830705106383,1.0,0.47703393377039804,29.99728441981203,121.4854921053875,118.55630827646931,0.2543323574173681,0.04153939794375209,1,2,0.9026973523941768,0.3000360695677177,2.9969372558900482,0.6859644684698616
43,Boise,43.6,-116.2,320.40101705276345,265.430965942179,0.3017743388713725,0.8231673245791443,1.0,0.47863632021986446,29.99731389740955,122.90814150185979,240.0418003818568,0.25589002168078323,0.042003047046518104,2,3,0.7144898033249447,0.27351598351414963,3.7109607891106497,0.9606410797280519
43,Boise,43.6,-116.2,320.40101705276345,265.430965942179,0.3017743388713725,0.821458622149228,1.0,0.4737801019122259,29.997338353914127,124.08113448293778,362.9499418837166,0.2568981371915263,0.04240904548234503,3,4,0.6049888997769206,0.2551583801898768,4.314541580067273,1.2178747277069106
43,Boise,43.6,-116.2,320.40101705276345,265.430965942179,0.3017743388713725,0.8199050650265348,1.0,0.539257366143229,29.997359830213462,125.09796642546858,487.03107636665436,0.2575768559663809,0.042750802589124386,4,5,0.5377682235389507,0.2434008782071837,4.851179538756994,1.4647964164929674
