design_id,site,solar_mw_initial,batt_mw_initial,solar_battery_ratio,year,capacity_fraction,solar_degradation,mean_soc,soc_p90,efc,mean_temp,c_rate_max,c_rate_mean,mean_soc_relative,soc_p90_relative,efc_relative,c_rate_max_relative,c_rate_mean_relative,uptime_pct
4,Phoenix,333.1587498198567,112.33142789311101,0.7414638006223734,10,0.8797704837223045,0.9420593877743962,0.6859557444858724,1.0,323.4042510970478,29.99877800198889,0.2841650232936337,0.1055552610548444,0.9479652745663762,1.0,1.1261789276145175,1.1366600931745348,1.1244293284111984,98.89269406392694
4,Phoenix,333.1587498198567,112.33142789311101,0.7414638006223734,11,0.8725378071635448,0.9368780611416371,0.6835285235447812,1.0,325.465151473498,29.998786797761117,0.2865205357836615,0.10638692175000693,0.9446109456838632,1.0,1.1333555264625474,1.146082143134646,1.1332886090153333,98.83561643835617
4,Phoenix,333.1587498198567,112.33142789311101,0.7414638006223734,12,0.865609678247438,0.9317252318053582,0.6811798832477709,1.0,327.4284086572868,29.99879536100227,0.2888137763271825,0.10746863402904713,0.9413652123229133,1.0,1.1401921059520586,1.15525510530873,1.1448115686414135,98.6986301369863
5,Chicago,738.0949127945667,291.1270328210711,0.6338254692825154,0,1.0,1.0,0.8815174640598251,1.0,112.09244881101641,29.99700813793062,0.25,0.039454559092707266,1.0,1.0,1.0,1.0,1.0,100.0
5,Chicago,738.0949127945667,291.1270328210711,0.6338254692825154,1,0.9747122241517999,0.99,0.8780326558217737,1.0,115.02271663558794,29.997078598812365,0.2564859594508024,0.04043038865861656,0.9960468074880762,1.0,1.0261415274235988,1.0259438378032095,1.024732998881482,99.98858447488584
5,Chicago,738.0949127945667,291.1270328210711,0.6338254692825154,2,0.9626838815177144,0.9845550000000001,0.8762897155771818,1.0,116.45914954781702,29.99711341326174,0.2596906469503403,0.04089803254665961,0.9940696030472648,1.0,1.0389562435571615,1.038762587801361,1.0365857200573596,99.9771689497717
5,Chicago,738.0949127945667,291.1270328210711,0.6338254692825154,3,0.9530824080833911,0.9791399475000001,0.8748196443048024,1.0,117.63423748499306,29.997140552708633,0.26230680356669217,0.04126888549107152,0.9924019432080495,1.0,1.0494394469275972,1.0492272142667687,1.0459852153993432,99.96575342465754
5,Chicago,738.0949127945667,291.1270328210711,0.6338254692825154,4,0.944785707285359,0.9737546777887501,0.8734924577080767,1.0,118.67051411645869,29.997160553074405,0.264610268838975,0.0416062493247227,0.990896372812866,1.0,1.058684285830285,1.0584410753559,1.0545359086882597,99.96575342465754
5,Chicago,738.0949127945667,291.1270328210711,0.6338254692825154,5,0.9373419205171567,0.9683990270609121,0.8722576531187745,1.0,119.61712383302064,29.997178798703704,0.26671163908050577,0.04191482591552634,0.9894956012573992,1.0,1.0671291875752535,1.066846556322023,1.062356971650301,99.95433789954338
5,Chicago,738.0949127945667,291.1270328210711,0.6338254692825154,6,0.9305273005794437,0.9630728324120772,0.8711144017347063,1.0,120.49808477476414,29.997195758114405,0.2686648740389711,0.042197832267329836,0.9881986883422508,1.0,1.074988422975033,1.0746594961558844,1.0695299412211563,99.93150684931507
